Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"INFIBEAM","39.50","45.30","39.50","43.95","4.55","11.55","311.75","134.86","242.70","27.50","-71.20","29.07"
"INDIACEM","96.30","104.15","96.30","102.85","6.70","6.97","109.44","110.64","155.85","74.75","-30.29","28.08"
"KTKBANK","118.80","127.30","118.15","126.20","7.90","6.68","38.27","47.56","127.45","92.65","7.22","8.14"
"CANFINHOME","289.00","308.00","289.00","305.60","18.15","6.31","26.11","78.75","557.50","216.50","-40.45","24.79"
"IDFC","39.90","41.90","39.45","41.50","2.30","5.87","65.27","26.89","60.50","31.60","-14.87","12.31"
"BHARATFORG","509.90","535.75","506.65","535.35","28.00","5.52","22.74","119.54","784.80","456.10","-28.47","11.05"
"HINDPETRO","250.95","266.80","250.25","263.65","13.80","5.52","123.09","322.51","385.50","163.00","-26.88","12.72"
"EQUITAS","125.70","132.35","125.00","131.55","6.85","5.49","21.81","28.37","173.65","77.85","-6.64","9.49"
"IRB","148.40","157.70","146.80","155.65","8.10","5.49","60.51","93.21","286.20","109.30","-27.77","20.80"
"UNIONBANK","78.70","82.45","78.70","82.20","4.10","5.25","91.54","74.16","105.45","61.25","-14.60","3.53"
"BHARTIARTL","309.05","326.25","308.70","324.80","16.10","5.22","81.20","260.01","429.80","276.85","-19.06","5.20"
"MOTHERSUMI","163.80","173.00","163.50","171.40","8.15","4.99","111.38","190.54","239.67","127.15","-45.80","24.56"
"FEDERALBNK","87.75","92.30","87.75","91.75","4.20","4.80","120.08","108.86","105.00","67.05","-1.40","7.31"
"SOUTHBANK","14.80","15.80","14.80","15.50","0.70","4.73","321.55","49.23","27.45","12.45","-38.37","19.69"
"CESC","688.00","724.10","688.00","720.75","32.50","4.72","3.58","25.43","1,091.70","642.00","-26.77","-1.16"
"BPCL","369.45","388.00","368.80","384.00","16.65","4.53","71.92","274.71","468.40","238.55","-13.16","13.17"
"POWERGRID","188.50","195.70","187.75","195.40","8.40","4.49","59.97","115.17","216.00","172.50","0.00","4.60"
"CHOLAFIN","1,292.15","1,348.00","1,292.15","1,345.75","56.55","4.39","2.28","30.26","1,760.05","1,038.00","-5.59","7.87"
"BHEL","67.70","70.30","67.20","70.00","2.90","4.32","68.63","47.45","91.15","56.20","-18.70","15.13"
"TVSMOTOR","489.90","510.00","487.00","508.05","21.05","4.32","14.00","70.24","689.95","448.30","-21.42","4.00"
"MRPL","68.50","71.95","68.50","71.50","2.95","4.30","9.96","7.04","120.00","61.25","-39.02","9.58"
"IDEA","32.75","34.20","32.60","33.90","1.35","4.15","340.50","114.58","83.00","28.45","-57.44","13.00"
"MUTHOOTFIN","573.50","597.50","572.20","594.50","23.60","4.13","20.32","119.52","597.50","356.00","55.91","22.59"
"VOLTAS","594.00","619.50","594.00","617.55","23.85","4.02","20.51","124.76","664.70","472.25","-2.12","16.82"
"INFRATEL","306.60","318.20","305.95","317.70","12.20","3.99","29.76","93.72","350.00","242.25","-4.08","7.20"
"COALINDIA","236.70","245.00","235.25","244.20","9.30","3.96","168.78","407.92","308.75","211.40","-20.07","11.03"
"ENGINERSIN","111.50","116.45","111.35","114.85","4.35","3.94","27.46","31.49","170.20","100.15","-29.30","1.06"
"TATAGLOBAL","192.05","202.85","192.05","200.70","7.50","3.88","27.67","55.11","300.00","177.05","-26.59","6.50"
"NATIONALUM","52.20","55.15","52.05","54.30","2.00","3.82","253.45","136.76","90.20","46.20","-15.09","-7.65"
"ARVIND","84.55","87.60","84.40","87.15","3.20","3.81","44.91","38.58","444.45","72.80","-78.05","4.62"
"JINDALSTEL","163.90","169.75","163.20","168.90","6.15","3.78","66.41","111.12","265.00","123.25","-28.04","24.97"
"UJJIVAN","316.15","329.00","315.55","328.10","11.80","3.73","11.47","37.23","434.75","166.50","-4.37","10.01"
"GSFC","99.00","103.00","98.90","102.30","3.65","3.70","7.95","8.07","137.60","85.50","-16.15","9.29"
